nsf_proposal_links_v0,lead_researcher,team,goodness_score
https://www.nsf.gov/pubs/2026/nsf26000/nsf26000.htm,Hayley Gutierrez,"['Hayley Gutierrez', 'Megan Daniel DDS', 'Mark Lewis', 'Krystal Anderson', 'William Hogan', 'Ruben Martinez', 'Jennifer White', 'Michael Brady']",0.7
https://www.nsf.gov/pubs/2026/nsf26001/nsf26001.htm,Robert Smith,"['Robert Smith', 'Isabel Davis', 'David Thomas', 'Anthony Grant', 'Ashley Hernandez', 'Mr. Eric Bruce DVM', 'Tyler Willis', 'Michelle Koch']",0.7
https://www.nsf.gov/pubs/2026/nsf26002/nsf26002.htm,Marissa Flores,"['Marissa Flores', 'Donna Stone', 'Michael Curry', 'Kendra Meadows', 'Samuel Spence', 'James Young', 'Benjamin Camacho', 'Susan Murphy']",0.7
https://www.nsf.gov/pubs/2026/nsf26003/nsf26003.htm,Brandon Campos,"['Brandon Campos', 'Leslie Navarro', 'James Barker', 'Jennifer Keller', 'Maria Mccoy', 'Colleen Carter DVM', 'Kenneth King', 'Benjamin Camacho']",0.7
https://www.nsf.gov/pubs/2026/nsf26004/nsf26004.htm,Elizabeth Keller,"['Elizabeth Keller', 'Brandy Holt', 'Sabrina Rivera', 'Diana Suarez', 'Daniel Buchanan', 'Ronald Bailey', 'Joshua Williams', 'Christopher Townsend']",0.7
https://www.nsf.gov/pubs/2026/nsf26005/nsf26005.htm,Rebecca Pennington,"['Rebecca Pennington', 'Morgan West', 'Casey Jordan', 'Jasmine White', 'Randy Hernandez', 'Danielle Rodriguez PhD', 'Shawn Taylor']",0.675
https://www.nsf.gov/pubs/2026/nsf26006/nsf26006.htm,Adam Henderson,"['Adam Henderson', 'Yvonne Ross', 'Michael West', 'Jennifer Lowe', 'Todd Nolan', 'Dawn Nielsen', 'Levi Hanna', 'Amanda Day']",0.7
https://www.nsf.gov/pubs/2026/nsf26007/nsf26007.htm,Steven Davis,"['Steven Davis', 'Michael Anderson', 'Adrienne Richardson', 'Jeffery Clark', 'Tyler Mcgee', 'Russell Choi']",0.65
https://www.nsf.gov/pubs/2026/nsf26008/nsf26008.htm,Crystal Soto,"['Crystal Soto', 'Maria Stewart', 'Joshua Griffin', 'Hailey Ford', 'Anthony George', 'Anna Simmons', 'John Hernandez', 'Marissa Flores']",0.7
https://www.nsf.gov/pubs/2026/nsf26009/nsf26009.htm,Hayley Gutierrez,"['Hayley Gutierrez', 'Amanda Wagner', 'Margaret Baker', 'Evan Hughes', 'Seth Moore', 'Samantha Burns', 'Julie Neal', 'Stacey Green']",0.7
https://www.nsf.gov/pubs/2026/nsf26010/nsf26010.htm,Patrick Rivera,"['Patrick Rivera', 'Michael Anderson', 'Nicole Hughes', 'Caroline Martin', 'Joshua Little', 'Jeffrey Clarke']",0.65
https://www.nsf.gov/pubs/2026/nsf26011/nsf26011.htm,Michelle Morales,"['Michelle Morales', 'Jeffery Clark', 'Paige Bolton', 'Dr. Nathaniel Harris', 'David Scott', 'Nicole Hughes', 'Robin Nelson', 'Zachary Aguilar']",0.7
https://www.nsf.gov/pubs/2026/nsf26012/nsf26012.htm,Ronald Hart,"['Ronald Hart', 'Crystal Novak', 'Megan Ryan', 'Aaron Smith', 'Adrienne Richardson', 'Kayla Roy', 'Linda Johnson', 'Casey Faulkner']",0.7
https://www.nsf.gov/pubs/2026/nsf26013/nsf26013.htm,Krista Gonzalez,"['Krista Gonzalez', 'Shelia Anderson', 'Mark Allen', 'Curtis Andersen', 'Andrew Munoz', 'David Mccarthy', 'Shawn Macdonald', 'Benjamin Gilbert']",0.7
https://www.nsf.gov/pubs/2026/nsf26014/nsf26014.htm,Kevin Delacruz,"['Kevin Delacruz', 'Matthew Davenport', 'Tanya Jenkins', 'Michelle Koch', 'Anna Robbins', 'Michael Curry', 'Marc Lewis', 'Daniel Hayes']",0.7
https://www.nsf.gov/pubs/2026/nsf26015/nsf26015.htm,Jennifer Nguyen,"['Jennifer Nguyen', 'Jason Mcdonald', 'Linda Leblanc', 'Claudia Stewart', 'Brianna Murphy', 'Bryan Myers', 'Charles Patel', 'Megan Morrison']",0.7
https://www.nsf.gov/pubs/2026/nsf26016/nsf26016.htm,Sara Odonnell,"['Sara Odonnell', 'Summer Hart', 'Amy Burke', 'Fred Rowe', 'Stephanie Baker', 'Shelby Miller']",0.65
https://www.nsf.gov/pubs/2026/nsf26017/nsf26017.htm,Benjamin Dunn,"['Benjamin Dunn', 'Rachel Williams DVM', 'Nathaniel Snow', 'Shawn Taylor', 'Sheila Martin', 'Kevin Nichols', 'Stacy Smith', 'Russell Velez']",0.7
https://www.nsf.gov/pubs/2026/nsf26018/nsf26018.htm,John Byrd,"['John Byrd', 'Anthony Grant', 'Patricia Duke', 'Anthony Patterson', 'Laura Davis', 'Kelly Douglas', 'Carol Wallace', 'Jennifer Lowe']",0.7
https://www.nsf.gov/pubs/2026/nsf26019/nsf26019.htm,Michael Palmer,"['Michael Palmer', 'Kristen Ruiz', 'Cynthia Orr', 'Donna Stone', 'Rodney Sanchez', 'James Sanchez']",0.65
