nsf_proposal_links_v0,lead_researcher,team,goodness_score
https://www.nsf.gov/pubs/2026/nsf26000/nsf26000.htm,Hayley Gutierrez,['Hayley Gutierrez'],0.4
https://www.nsf.gov/pubs/2026/nsf26001/nsf26001.htm,Robert Smith,"['Robert Smith', 'Donna Stone']",0.425
https://www.nsf.gov/pubs/2026/nsf26002/nsf26002.htm,Marissa Flores,"['Marissa Flores', 'Heidi Johnson']",0.425
https://www.nsf.gov/pubs/2026/nsf26003/nsf26003.htm,Casey Webb,"['Casey Webb', 'Colin Graham']",0.425
https://www.nsf.gov/pubs/2026/nsf26004/nsf26004.htm,Elizabeth Keller,['Elizabeth Keller'],0.4
https://www.nsf.gov/pubs/2026/nsf26005/nsf26005.htm,Rebecca Pennington,['Rebecca Pennington'],0.4
https://www.nsf.gov/pubs/2026/nsf26006/nsf26006.htm,Dawn Nielsen,"['Dawn Nielsen', 'Alexandra Alvarez MD']",0.425
https://www.nsf.gov/pubs/2026/nsf26007/nsf26007.htm,Steven Davis,['Steven Davis'],0.4
https://www.nsf.gov/pubs/2026/nsf26008/nsf26008.htm,Crystal Soto,"['Crystal Soto', 'Andrea Ruiz']",0.425
https://www.nsf.gov/pubs/2026/nsf26009/nsf26009.htm,Ann Curry,"['Ann Curry', 'Stacie Landry', 'Ralph Whitehead']",0.45
https://www.nsf.gov/pubs/2026/nsf26010/nsf26010.htm,Patrick Rivera,['Patrick Rivera'],0.4
https://www.nsf.gov/pubs/2026/nsf26011/nsf26011.htm,Michelle Morales,['Michelle Morales'],0.4
https://www.nsf.gov/pubs/2026/nsf26012/nsf26012.htm,Ronald Hart,"['Ronald Hart', 'Dawn Blake']",0.425
https://www.nsf.gov/pubs/2026/nsf26013/nsf26013.htm,Megan Morrison,"['Megan Morrison', 'Anthony Powers', 'Heidi Johnson']",0.46785714285714286
https://www.nsf.gov/pubs/2026/nsf26014/nsf26014.htm,Kevin Delacruz,"['Kevin Delacruz', 'Tanya Bush']",0.425
https://www.nsf.gov/pubs/2026/nsf26015/nsf26015.htm,Jennifer Nguyen,"['Jennifer Nguyen', 'Jacob Stone']",0.425
https://www.nsf.gov/pubs/2026/nsf26016/nsf26016.htm,Sara Odonnell,['Sara Odonnell'],0.4
https://www.nsf.gov/pubs/2026/nsf26017/nsf26017.htm,Kevin Nichols,"['Kevin Nichols', 'Marisa Bowen']",0.425
https://www.nsf.gov/pubs/2026/nsf26018/nsf26018.htm,John Byrd,"['John Byrd', 'Maria Stewart']",0.425
https://www.nsf.gov/pubs/2026/nsf26019/nsf26019.htm,Michael Palmer,['Michael Palmer'],0.4
https://www.nsf.gov/pubs/2026/nsf26020/nsf26020.htm,Cassandra Hughes,['Cassandra Hughes'],0.4
https://www.nsf.gov/pubs/2026/nsf26021/nsf26021.htm,Sharon Jacobs,['Sharon Jacobs'],0.4
https://www.nsf.gov/pubs/2026/nsf26022/nsf26022.htm,Jacob Burnett,"['Jacob Burnett', 'Benjamin Camacho']",0.425
https://www.nsf.gov/pubs/2026/nsf26023/nsf26023.htm,Benjamin Camacho,"['Benjamin Camacho', 'Clinton Fischer']",0.425
https://www.nsf.gov/pubs/2026/nsf26024/nsf26024.htm,Jessica Roberts,"['Jessica Roberts', 'John Adams']",0.425
