nsf_proposal_links_v0,lead_researcher,team,goodness_score
https://www.nsf.gov/pubs/2026/nsf26000/nsf26000.htm,Cory Dodson,"['Cory Dodson', 'Lori Dunn', 'Stacy Miller', 'Stephanie Haynes', 'Michelle Wells']",0.375
https://www.nsf.gov/pubs/2026/nsf26001/nsf26001.htm,Carlos Barton,"['Carlos Barton', 'Jamie Anderson', 'Cindy Williams']",0.3875
https://www.nsf.gov/pubs/2026/nsf26002/nsf26002.htm,Joan Benitez,"['Joan Benitez', 'Stephen Mullins', 'Karen Jones']",0.41875
https://www.nsf.gov/pubs/2026/nsf26003/nsf26003.htm,John Anderson,"['John Anderson', 'Heather Hansen']",0.175
https://www.nsf.gov/pubs/2026/nsf26004/nsf26004.htm,Matthew Newton,"['Matthew Newton', 'Isabel Davis']",0.45625
https://www.nsf.gov/pubs/2026/nsf26005/nsf26005.htm,Joshua Little,"['Joshua Little', 'Lori Dunn', 'Cindy Williams', 'Jamie Anderson', 'Joseph Bell']",0.5833333333333333
https://www.nsf.gov/pubs/2026/nsf26006/nsf26006.htm,Allison Andrews,"['Allison Andrews', 'Lori Dunn', 'Cindy Williams', 'Jason Arnold', 'Stephanie Haynes']",0.21875
https://www.nsf.gov/pubs/2026/nsf26007/nsf26007.htm,Cody Mccall,"['Cody Mccall', 'Cindy Williams', 'Jason Arnold', 'Katherine Young']",0.1
https://www.nsf.gov/pubs/2026/nsf26008/nsf26008.htm,Zachary Mckinney,"['Zachary Mckinney', 'Isabel Davis', 'Karen Jones']",0.3875
https://www.nsf.gov/pubs/2026/nsf26009/nsf26009.htm,Crystal Huerta,"['Crystal Huerta', 'Isabel Davis', 'Joseph Bell', 'Jamie Anderson', 'Anthony Mccarthy']",0.515625
https://www.nsf.gov/pubs/2026/nsf26010/nsf26010.htm,Chad Hunt,"['Chad Hunt', 'Stacy Miller', 'Stephanie Haynes', 'Cindy Williams']",0.5375
https://www.nsf.gov/pubs/2026/nsf26011/nsf26011.htm,Eric Garcia,"['Eric Garcia', 'Amy Thornton', 'Jason Arnold']",0.4083333333333333
https://www.nsf.gov/pubs/2026/nsf26012/nsf26012.htm,Michael Sanders,"['Michael Sanders', 'Karen Jones']",0.15714285714285714
https://www.nsf.gov/pubs/2026/nsf26013/nsf26013.htm,Alexandra Cooley,"['Alexandra Cooley', 'Amy Thornton', 'Michelle Wells', 'Jason Arnold']",0.3678571428571429
https://www.nsf.gov/pubs/2026/nsf26014/nsf26014.htm,William Wilcox,"['William Wilcox', 'Cindy Williams', 'Stephanie Haynes']",0.41875
https://www.nsf.gov/pubs/2026/nsf26015/nsf26015.htm,Jason Sheppard,"['Jason Sheppard', 'Heather Hansen', 'Anthony Mccarthy']",0.5214285714285714
https://www.nsf.gov/pubs/2026/nsf26016/nsf26016.htm,Rick Sharp,"['Rick Sharp', 'Karen Jones', 'Trevor Erickson', 'Jamie Anderson']",0.6
https://www.nsf.gov/pubs/2026/nsf26017/nsf26017.htm,Jill Bowman,"['Jill Bowman', 'Anna Moore']",0.19583333333333333
https://www.nsf.gov/pubs/2026/nsf26018/nsf26018.htm,Andrea Lawrence,"['Andrea Lawrence', 'Isabel Davis']",0.2375
https://www.nsf.gov/pubs/2026/nsf26019/nsf26019.htm,Travis Montoya,"['Travis Montoya', 'Michelle Wells', 'Jamie Anderson', 'Stephen Mullins']",0.5375
https://www.nsf.gov/pubs/2026/nsf26020/nsf26020.htm,Audrey Fields,"['Audrey Fields', 'Anthony Mccarthy', 'Timothy Webster']",0.2
https://www.nsf.gov/pubs/2026/nsf26021/nsf26021.htm,Michele Jackson,"['Michele Jackson', 'Scott Campbell']",0.3
